Date,AAPL,AMZN,FB,GOOG,MSFT
2015-11-12,110.531181,665.599976,108.019997,731.22998,49.970299
2015-11-13,107.30275,642.349976,103.949997,717.0,49.520462
2015-11-16,109.06024199999999,647.8099980000001,104.040001,728.960022,50.392033000000005
2015-11-17,108.59220900000001,643.299988,105.129997,725.299988,49.976898
2015-11-18,112.03078500000001,663.539978,107.769997,740.0,50.807163
2015-11-19,113.453979,661.27002,106.260002,738.409973,50.89209
2015-11-20,113.95066100000001,668.450012,107.32,756.599976,51.127956
2015-11-23,112.470169,678.98999,106.949997,755.97998,51.127956
2015-11-24,113.5495,671.150024,105.739998,748.280029,51.18457
2015-11-25,112.737602,675.340027,105.410004,748.150024,50.656203999999995
2015-11-27,112.527473,673.26001,105.449997,750.26001,50.882645000000004
2015-11-30,112.995499,664.799988,104.239998,742.599976,51.278912
2015-12-01,112.078529,679.0599980000001,107.120003,767.039978,52.099762
2015-12-02,111.066078,676.01001,106.07,762.380005,52.090317
2015-12-03,110.0345,666.25,104.379997,752.539978,51.137394
2015-12-04,113.69277199999999,672.6400150000001,106.18,766.8099980000001,52.750758999999995
2015-12-07,112.976395,669.830017,105.610001,763.25,52.656418
2015-12-08,112.928642,677.330017,106.489998,762.369995,52.637547
2015-12-09,110.435677,664.789978,104.599998,751.6099849999999,51.873321999999995
2015-12-10,110.96100600000001,662.320007,105.41999799999999,749.460022,52.146927000000005
2015-12-11,108.10508,640.150024,102.120003,738.869995,51.005306
2015-12-14,107.43645500000001,657.909973,104.660004,747.77002,52.024277000000005
2015-12-15,105.535706,658.6400150000001,104.550003,743.400024,52.080887
2015-12-16,106.347572,675.77002,106.790001,758.090027,52.958328
2015-12-17,104.093407,670.650024,106.220001,749.429993,52.552631000000005
2015-12-18,101.275681,664.1400150000001,104.040001,739.3099980000001,51.071346000000005
2015-12-21,102.51738,664.51001,104.769997,747.77002,51.7318
2015-12-22,102.421867,663.150024,105.510002,750.0,52.222408
2015-12-23,103.740013,663.700012,104.629997,750.3099980000001,52.665852
2015-12-24,103.185997,662.789978,105.019997,748.400024,52.524326
2015-12-28,102.030251,675.200012,105.93,762.51001,52.788506000000005
2015-12-29,103.864151,693.969971,107.260002,776.599976,53.354599
2015-12-30,102.507828,689.070007,106.220001,771.0,53.12817
2015-12-31,100.540207,675.8900150000001,104.660004,758.880005,52.345065999999996
2016-01-04,100.626175,636.98999,102.220001,741.840027,51.703487
2016-01-05,98.104546,633.789978,102.730003,742.580017,51.939362
2016-01-06,96.18465400000001,632.650024,102.970001,743.619995,50.995865
2016-01-07,92.125244,607.9400019999999,97.91999799999999,726.3900150000001,49.222095
2016-01-08,92.612358,607.049988,97.33000200000001,714.469971,49.373062
2016-01-11,94.11198399999999,617.73999,97.510002,716.030029,49.344746
2016-01-12,95.477859,617.8900150000001,99.370003,726.070007,49.797626
2016-01-13,93.023087,581.8099980000001,95.440002,700.5599980000001,48.722046
2016-01-14,95.057579,593.0,98.370003,714.719971,50.108986
2016-01-15,92.77475,570.179993,94.970001,694.450012,48.108776
2016-01-19,92.325813,574.47998,95.260002,701.789978,47.703075
2016-01-20,92.449989,571.77002,94.349998,698.450012,47.920078000000004
2016-01-21,91.981964,575.02002,94.160004,706.590027,47.627583
2016-01-22,96.872398,596.380005,97.940002,725.25,49.33532
2016-01-25,94.981171,596.530029,97.010002,711.669983,48.863566999999996
2016-01-26,95.506508,601.25,97.339996,713.039978,49.222095
2016-01-27,89.231094,583.349976,94.449997,699.98999,48.325783
2016-01-28,89.871048,635.349976,109.110001,730.960022,49.118313
2016-01-29,92.975334,587.0,112.209999,742.950012,51.977104
2016-02-01,92.10614,574.8099980000001,115.089996,752.0,51.618567999999996
2016-02-02,90.243576,552.099976,114.610001,764.650024,50.005196000000005
2016-02-03,92.029724,531.070007,112.690002,726.950012,49.212662
2016-02-04,92.76918,536.26001,110.489998,708.01001,49.061703
2016-02-05,90.291489,502.130005,104.07,683.570007,47.325676
2016-02-08,91.242241,488.10000599999995,99.75,682.73999,46.61805
2016-02-09,91.223038,482.07000700000003,99.540001,678.1099849999999,46.495396
2016-02-10,90.531593,490.48001100000005,101.0,684.119995,46.9011
2016-02-11,89.98419200000001,503.82000700000003,101.910004,683.1099849999999,46.882233
2016-02-12,90.262688,507.079987,102.010002,682.400024,47.646460999999995
2016-02-16,92.807602,521.099976,101.610001,691.0,48.549217
2016-02-17,94.228897,534.099976,105.199997,708.400024,49.813076
2016-02-18,92.442665,525.0,103.470001,697.349976,49.594509
2016-02-19,92.23138399999999,534.900024,104.57,700.909973,49.242912
2016-02-22,93.03808599999999,559.5,107.160004,706.460022,50.031634999999994
2016-02-23,90.934929,552.9400019999999,105.459999,695.849976,48.634743
2016-02-24,92.289017,554.039978,106.879997,699.5599980000001,48.805786
2016-02-25,92.922836,555.150024,108.07,705.75,49.508987
2016-02-26,93.066895,555.22998,107.91999799999999,705.070007,48.748771999999995
2016-02-29,92.855621,552.52002,106.91999799999999,697.77002,48.349659
2016-03-01,96.54334300000001,579.039978,109.82,718.8099980000001,49.965118
2016-03-02,96.754623,580.210022,109.949997,718.849976,50.316715
2016-03-03,97.474876,577.48999,109.58000200000001,712.419983,49.746555
2016-03-04,98.924988,575.1400150000001,108.389999,710.8900150000001,49.442467
2016-03-07,97.8302,562.799988,105.730003,695.159973,48.492199
2016-03-08,97.02350600000001,560.26001,105.93,693.969971,49.081371000000004
2016-03-09,97.10994699999999,559.469971,107.510002,705.23999,50.212196
2016-03-10,97.157944,558.929993,107.32,712.820007,49.461475
2016-03-11,98.204727,569.6099849999999,109.410004,726.820007,50.430748
2016-03-14,98.454414,573.369995,109.889999,730.48999,50.525776
2016-03-15,100.432732,577.02002,110.66999799999999,728.330017,50.924884999999996
2016-03-16,101.767609,574.27002,112.18,736.090027,51.647087
2016-03-17,101.60434000000001,559.4400019999999,111.019997,737.780029,51.941669
2016-03-18,101.719589,552.080017,111.449997,737.599976,50.829861
2016-03-21,101.709991,553.97998,111.849998,742.090027,51.181461
2016-03-22,102.48786199999999,560.47998,112.25,740.75,51.381012
2016-03-23,101.921272,569.630005,112.540001,738.0599980000001,51.285988
2016-03-24,101.479515,582.950012,113.050003,735.299988,51.514057
2016-03-28,101.018539,579.869995,113.690002,733.530029,50.877377
2016-03-29,103.409798,593.8599849999999,116.139999,744.77002,51.989182
2016-03-30,105.215225,598.6900019999999,114.699997,750.530029,52.312279
2016-03-31,104.667839,593.6400150000001,114.099998,744.950012,52.48333
2016-04-01,105.62818899999999,598.5,116.059998,749.909973,52.806422999999995
2016-04-04,106.713379,593.1900019999999,112.550003,745.289978,52.673382
2016-04-05,105.455322,586.1400150000001,112.220001,737.799988,51.846645
